method,time_years,relative_energy_error
ias15,1.49459723214192,3.325384638096961e-15
ias15,1.4987145798888655,5.868325831935813e-16
ias15,1.5028319276358109,1.760497749580744e-15
ias15,1.5069492753827562,2.1517194717097983e-15
ias15,1.5110666231297016,2.1517194717097983e-15
ias15,1.515183970876647,1.564886888516217e-15
ias15,1.5193013186235924,2.220446049250313e-16
ias15,1.5234186663705378,2.7385520549033795e-15
ias15,1.5275360141174832,7.824434442581085e-16
ias15,1.5316533618644286,2.3473303327743254e-15
ias15,1.535770709611374,2.220446049250313e-16
ias15,1.5398880573583194,3.129773777032434e-15
ias15,1.5440054051052647,7.824434442581085e-16
ias15,1.5481227528522101,5.868325831935813e-16
ias15,1.5522401005991555,5.477104109806759e-15
ias15,1.556357448346101,3.9122172212905425e-15
ias15,1.5604747960930463,3.520995499161488e-15
ias15,1.5645921438399917,2.934162915967907e-15
ias15,1.568709491586937,3.520995499161488e-15
ias15,1.5728268393338825,1.1736651663871627e-15
ias15,1.5769441870808278,2.3473303327743254e-15
ias15,1.5810615348277732,2.1517194717097983e-15
ias15,1.5851788825747186,1.760497749580744e-15
ias15,1.589296230321664,1.760497749580744e-15
ias15,1.5934135780686094,1.9561086106452713e-15
ias15,1.5975309258155548,5.281493248742232e-15
ias15,1.6016482735625002,4.890271526613178e-15
ias15,1.6057656213094456,2.7385520549033795e-15
ias15,1.609882969056391,3.520995499161488e-15
ias15,1.6140003168033363,2.5429411938388524e-15
ias15,1.6181176645502817,3.325384638096961e-15
ias15,1.622235012297227,2.220446049250313e-16
ias15,1.6263523600441725,2.5429411938388524e-15
ias15,1.6304697077911179,9.780543053226356e-16
ias15,1.6345870555380633,1.760497749580744e-15
ias15,1.6387044032850087,3.716606360226015e-15
ias15,1.642821751031954,5.868325831935813e-16
ias15,1.6469390987788994,1.9561086106452713e-15
ias15,1.6510564465258448,3.325384638096961e-15
ias15,1.6551737942727902,2.5429411938388524e-15
ias15,1.6592911420197356,6.0639366930003404e-15
ias15,1.663408489766681,3.325384638096961e-15
ias15,1.6675258375136264,5.085882387677705e-15
ias15,1.6716431852605718,2.7385520549033795e-15
ias15,1.6757605330075172,3.716606360226015e-15
ias15,1.6798778807544625,1.9561086106452713e-15
ias15,1.683995228501408,2.7385520549033795e-15
ias15,1.6881125762483533,3.716606360226015e-15
ias15,1.6922299239952987,3.716606360226015e-15
ias15,1.696347271742244,1.9561086106452713e-15
ias15,1.7004646194891895,2.220446049250313e-16
ias15,1.7045819672361349,1.564886888516217e-15
ias15,1.7086993149830803,4.499049804484124e-15
ias15,1.7128166627300256,2.7385520549033795e-15
ias15,1.716934010476971,2.1517194717097983e-15
ias15,1.7210513582239164,2.3473303327743254e-15
ias15,1.7251687059708618,3.129773777032434e-15
ias15,1.7292860537178072,1.760497749580744e-15
ias15,1.7334034014647526,2.934162915967907e-15
ias15,1.737520749211698,6.0639366930003404e-15
ias15,1.7416380969586434,1.1736651663871627e-15
ias15,1.7457554447055887,1.9561086106452713e-15
ias15,1.7498727924525341,3.520995499161488e-15
ias15,1.7539901401994795,1.760497749580744e-15
ias15,1.758107487946425,1.564886888516217e-15
ias15,1.7622248356933703,2.5429411938388524e-15
ias15,1.7663421834403157,3.9122172212905424e-16
ias15,1.770459531187261,3.716606360226015e-15
ias15,1.7745768789342065,3.9122172212905425e-15
