# a   rel_err_y0   rel_err_y1   rel_err_y2
6.16595001861480922e-10 1.97798301575513591e-05 5.86866333307511923e-10 2.22044604925031308e-16
6.23734835482419185e-10 1.16964073515468669e-06 2.05191419411221432e-12 0.00000000000000000e+00
6.30957344480194246e-10 1.96666804372913617e-05 5.80171244379812379e-10 0.00000000000000000e+00
6.38263486190548277e-10 5.21657559304777863e-06 4.08187927902758929e-11 0.00000000000000000e+00
6.45654229034656302e-10 2.52179959849829771e-05 9.53929157887500878e-10 0.00000000000000000e+00
6.53130552647471650e-10 9.89767689163478792e-06 1.46946455004126619e-10 0.00000000000000000e+00
6.60693448007596408e-10 1.24792862268297000e-05 2.33599917187632400e-10 0.00000000000000000e+00
6.68343917568613513e-10 5.31170894979560160e-06 4.23213686318035798e-11 2.22044604925031308e-16
6.76082975391981891e-10 2.13679933636079511e-05 6.84891698909950719e-10 0.00000000000000000e+00
6.83911647281430672e-10 2.41998932324349880e-05 8.78445205465538947e-10 0.00000000000000000e+00
6.91830970918936302e-10 2.78905186239519765e-05 1.16683240847237357e-09 0.00000000000000000e+00
6.99841996002274513e-10 5.65413083497556812e-06 4.79538631026343865e-11 2.22044604925031308e-16
7.07945784384137317e-10 6.90647478429617934e-06 7.15490999780854509e-11 0.00000000000000000e+00
7.16143410212902705e-10 3.35533273165822266e-07 1.68864922045486310e-13 0.00000000000000000e+00
7.24435960074989120e-10 1.40742970335949735e-05 2.97127211723591245e-10 0.00000000000000000e+00
7.32824533138904416e-10 1.99122605888391035e-05 5.94751137228399784e-10 0.00000000000000000e+00
7.41310241300916184e-10 1.98770756855148889e-05 5.92643156771544000e-10 2.22044604925031308e-16
7.49894209332455858e-10 1.60820406596151599e-05 3.87950005453774338e-10 2.22044604925031308e-16
7.58577575029185137e-10 8.41353549430046144e-06 1.06180841896730271e-10 0.00000000000000000e+00
7.67361489361818520e-10 2.73249291171673292e-06 1.11997078278136541e-11 0.00000000000000000e+00
7.76247116628692728e-10 8.54045044107465401e-06 1.09409037385432839e-10 2.22044604925031308e-16
7.85235634610071054e-10 1.89128801135751701e-05 5.36542255069605289e-10 2.22044604925031308e-16
7.94328234724282175e-10 1.86316712540435248e-05 5.20711918028382570e-10 0.00000000000000000e+00
8.03526122185616112e-10 5.06444568337816037e-06 3.84726694946380121e-11 0.00000000000000000e+00
8.12830516164099541e-10 8.91241833378408899e-06 1.19147247623629937e-10 2.22044604925031308e-16
8.22242649947069501e-10 1.83973471050702386e-05 5.07696773510701860e-10 0.00000000000000000e+00
8.31763771102670916e-10 9.08339411931358143e-06 1.23762444736996713e-10 0.00000000000000000e+00
8.41395141645196448e-10 9.84324946551318192e-06 1.45334855261580742e-10 0.00000000000000000e+00
8.51138038202375927e-10 2.10447242496858422e-05 6.64325261467979544e-10 0.00000000000000000e+00
